19:11:01 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
19:11:14 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 2 JPA repository interfaces.
19:11:14 [main] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
19:11:15 [restartedMain] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
19:11:15 [restartedMain] INFO    --- o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
19:11:15 [restartedMain] INFO    --- o.a.c.c.StandardService - Starting service [Tomcat]
19:11:15 [restartedMain] INFO    --- o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
19:11:15 [restartedMain] INFO    --- o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
19:11:15 [restartedMain] INFO    --- o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2107 ms
19:11:15 [main] INFO    --- o.h.Version - HHH000412: Hibernate ORM core version 5.4.33
19:11:15 [restartedMain] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
19:11:15 [restartedMain] INFO    --- c.z.h.HikariDataSource - HikariPool-8 - Starting...
19:11:15 [restartedMain] INFO    --- c.z.h.HikariDataSource - HikariPool-8 - Start completed.
19:11:15 [restartedMain] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/postgres (PostgreSQL 14.2)
19:11:15 [restartedMain] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@6211ba7e 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@6211ba7e is 13.
19:11:15 [restartedMain] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 1 migration (execution time 00:00.079s)
19:11:15 [restartedMain] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 1
19:11:15 [restartedMain] INFO    --- o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
19:11:15 [restartedMain] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
19:11:15 [restartedMain] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
19:11:16 [main] INFO    --- o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
19:11:16 [restartedMain] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19:11:16 [restartedMain] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
19:11:16 [restartedMain] WARN    --- o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19:11:17 [restartedMain] INFO    --- o.s.b.a.e.w.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
19:11:17 [restartedMain] INFO    --- s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
19:11:17 [restartedMain] INFO    --- o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
19:11:17 [restartedMain] INFO    --- o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
19:11:17 [restartedMain] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
19:11:17 [restartedMain] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
19:11:17 [restartedMain] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
19:11:17 [restartedMain] INFO    --- s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
19:11:17 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - Started Java16GiraTrankimphuApplication in 4.806 seconds (JVM running for 571.051)
19:11:17 [restartedMain] INFO    --- o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
19:11:18 [main] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
19:11:22 [main] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19:11:22 [main] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
19:11:24 [main] WARN    --- o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19:11:26 [main] INFO    --- o.s.b.a.e.w.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
19:11:27 [main] INFO    --- s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
19:11:30 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
19:11:30 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
19:11:30 [main] INFO    --- s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
19:11:31 [main] INFO    --- c.j.j.Java16GiraTrankimphuApplicationTests - Started Java16GiraTrankimphuApplicationTests in 32.264 seconds (JVM running for 42.502)
19:11:33 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest], using SpringBootContextLoader
19:11:33 [main] INFO    --- o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:11:33 [main] INFO    --- o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest]: GiraRoleRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:11:33 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cybersoft.javabackend.java16giratrankimphu.Java16GiraTrankimphuApplication for test class cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest
19:11:33 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
19:11:33 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@438fcca3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@41c7ef69, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@15e86d24, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c0b83af, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@415cb259, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3f1eb1bc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@69497a36, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@497f8a4b, org.springframework.test.context.event.EventPublishingTestExecutionListener@6d952747, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@27ccf818, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5f6ae1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@30ee413a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7405e77f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3449cddf, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4ff1b0d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@46da7d39, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1d3f5482]
19:11:33 [main] INFO    --- o.s.t.c.t.TransactionContext - Began transaction (1) for test context [DefaultTestContext@5a66fc27 testClass = GiraRoleRepositoryTest, testInstance = cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest@cb29b75, testMethod = shouldNotInsertRole@GiraRoleRepositoryTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@68226b59 testClass = GiraRoleRepositoryTest, locations = '{}', classes = '{class cybersoft.javabackend.java16giratrankimphu.Java16GiraTrankimphuApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@53dbe163, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@4748a0f9, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@e19bb76, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@5dcd8c7a, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2df6226d, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@2c039ac6], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@4ed94e6a]; rollback [true]
19:11:33 [main] INFO    --- o.s.t.c.t.TransactionContext - Rolled back transaction for test: [DefaultTestContext@5a66fc27 testClass = GiraRoleRepositoryTest, testInstance = cybersoft.javabackend.java16giratrankimphu.role.repository.GiraRoleRepositoryTest@cb29b75, testMethod = shouldNotInsertRole@GiraRoleRepositoryTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@68226b59 testClass = GiraRoleRepositoryTest, locations = '{}', classes = '{class cybersoft.javabackend.java16giratrankimphu.Java16GiraTrankimphuApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@53dbe163, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@4748a0f9, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@e19bb76, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@5dcd8c7a, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2df6226d, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@2c039ac6], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
19:11:33 [SpringApplicationShutdownHook] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:11:33 [SpringApplicationShutdownHook] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
19:11:33 [SpringApplicationShutdownHook] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
19:11:54 [Thread-34] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:11:54 [Thread-34] INFO    --- c.z.h.HikariDataSource - HikariPool-8 - Shutdown initiated...
19:11:54 [Thread-34] INFO    --- c.z.h.HikariDataSource - HikariPool-8 - Shutdown completed.
19:11:54 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - Starting Java16GiraTrankimphuApplication using Java 16.0.2 on TKP-PC with PID 8016 (E:\workspace\java16-gira-trankimphu\target\classes started by TKP in E:\workspace\java16-gira-trankimphu)
19:11:54 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - No active profile set, falling back to 1 default profile: "default"
19:11:56 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19:11:56 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 2 JPA repository interfaces.
19:11:56 [restartedMain] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
19:11:56 [restartedMain] INFO    --- o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
19:11:56 [restartedMain] INFO    --- o.a.c.c.StandardService - Starting service [Tomcat]
19:11:56 [restartedMain] INFO    --- o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
